epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.2982,3.07106,19.4655,2.31568,0,0,0,0,2.11019,11.7088,1.80046,0.000333333,0.000333333,0.000333333
2,6.20459,2.83447,12.9711,2.29382,0,0,0,0,2.11019,11.7088,1.80046,0.00073515,0.00073515,0.00073515
3,7.10034,3.25668,29.0123,2.44587,0,0,0,0,2.11019,11.7088,1.80046,0.00112047,0.00112047,0.00112047
4,8.17912,2.74739,14.152,2.08789,0,0,0,0,2.12543,11.0153,1.79394,0.00117575,0.00117575,0.00117575
5,9.07261,2.66337,13.5624,2.09154,0,0,0,0,2.12543,11.0153,1.79394,0.001151,0.001151,0.001151
6,9.96214,2.57627,15.3428,1.87836,0,0,0,0,2.12543,11.0153,1.79394,0.00112625,0.00112625,0.00112625
7,10.6586,2.50532,17.1655,1.86499,0,0,0,0,2.11891,11.3306,1.81327,0.0011015,0.0011015,0.0011015
8,11.3121,2.71327,19.6099,2.28161,0,0,0,0,2.11891,11.3306,1.81327,0.00107675,0.00107675,0.00107675
9,12.0099,2.32335,14.5728,2.12369,0,0,0,0,2.11891,11.3306,1.81327,0.001052,0.001052,0.001052
10,12.6628,3.01201,18.5987,2.18292,0,0,0,0,2.14791,11.6971,1.81891,0.00102725,0.00102725,0.00102725
11,13.332,2.7181,13.1384,2.01922,0,0,0,0,2.14791,11.6971,1.81891,0.0010025,0.0010025,0.0010025
12,14.0002,2.70399,18.4608,2.19836,0,0,0,0,2.14791,11.6971,1.81891,0.00097775,0.00097775,0.00097775
13,14.6544,2.29475,14.4177,1.79096,0,0,0,0,2.18889,11.5869,1.82073,0.000953,0.000953,0.000953
14,15.3206,2.82576,20.5646,1.95823,0,0,0,0,2.18889,11.5869,1.82073,0.00092825,0.00092825,0.00092825
