epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6530.57,1.37104,0.92431,1.30613,0.88169,0.7973,0.89156,0.42124,1.69227,0.82477,1.32584,0.0007294,0.0007294,0.0007294
43,6650.62,1.36989,0.93275,1.30504,0.83791,0.79476,0.88391,0.53729,1.2992,0.81042,1.20695,0.0007228,0.0007228,0.0007228
44,6781.7,1.37301,0.95526,1.30711,0.85941,0.80568,0.88573,0.53286,1.29061,0.80609,1.18818,0.0007162,0.0007162,0.0007162
45,6907.3,1.3532,0.89659,1.29025,0.84369,0.82497,0.89107,0.53489,1.28257,0.797,1.1724,0.0007096,0.0007096,0.0007096
46,7026.54,1.37412,0.94339,1.30752,0.8415,0.85371,0.90445,0.54331,1.26572,0.87021,1.16197,0.000703,0.000703,0.000703
47,7147.47,1.36632,0.90918,1.30037,0.84088,0.82314,0.89482,0.54318,1.28255,0.79117,1.18817,0.0006964,0.0006964,0.0006964
48,7398.17,1.35529,0.9088,1.29401,0.80093,0.83188,0.88088,0.5495,1.27847,0.83511,1.15609,0.0006898,0.0006898,0.0006898
49,7555.59,1.31671,0.88868,1.27119,0.83959,0.869,0.89434,0.54922,1.25026,0.83518,1.1658,0.0006832,0.0006832,0.0006832
50,7744.77,1.33736,0.87318,1.28256,0.8635,0.82533,0.90055,0.5626,1.20539,0.76333,1.12304,0.0006766,0.0006766,0.0006766
51,7944.15,1.33366,0.89302,1.26616,0.83691,0.79694,0.87736,0.53692,1.28518,0.90249,1.16525,0.00067,0.00067,0.00067
52,8100.6,1.35801,0.88115,1.28681,0.86628,0.80625,0.9003,0.56337,1.27932,0.78003,1.18418,0.0006634,0.0006634,0.0006634
53,8229.04,1.32462,0.88845,1.26824,0.83803,0.81441,0.88488,0.55087,1.25648,0.82614,1.16982,0.0006568,0.0006568,0.0006568
54,8343.88,1.34391,0.88636,1.28121,0.87943,0.79627,0.89233,0.56112,1.28901,0.80276,1.19156,0.0006502,0.0006502,0.0006502
55,8457.53,1.31653,0.86234,1.26565,0.83457,0.84815,0.89308,0.54811,1.26081,0.84283,1.16071,0.0006436,0.0006436,0.0006436
56,8567.94,1.3362,0.86282,1.27155,0.85084,0.83843,0.90724,0.55966,1.22935,0.76985,1.15098,0.000637,0.000637,0.000637
57,8678,1.33244,0.85863,1.26981,0.84426,0.86402,0.9175,0.56158,1.24932,0.73293,1.13858,0.0006304,0.0006304,0.0006304
58,8788.97,1.32591,0.87229,1.26852,0.85966,0.86934,0.92322,0.55635,1.26977,0.7486,1.15593,0.0006238,0.0006238,0.0006238
59,8898.67,1.3044,0.83675,1.24373,0.85637,0.87336,0.92772,0.56239,1.25729,0.70604,1.15089,0.0006172,0.0006172,0.0006172
60,9008.48,1.32082,0.84972,1.26645,0.85762,0.85486,0.91868,0.55378,1.2925,0.73773,1.16481,0.0006106,0.0006106,0.0006106
61,9118.25,1.2872,0.8317,1.2428,0.84901,0.84714,0.91163,0.56766,1.22062,0.70975,1.13542,0.000604,0.000604,0.000604
62,9227.98,1.28799,0.84474,1.24162,0.85631,0.87336,0.91819,0.58375,1.17627,0.70842,1.10782,0.0005974,0.0005974,0.0005974
63,9337.38,1.31972,0.84854,1.26448,0.85123,0.8559,0.91962,0.57735,1.17856,0.72549,1.10717,0.0005908,0.0005908,0.0005908
64,9447.05,1.30163,0.88523,1.24823,0.84077,0.83406,0.90651,0.57693,1.20463,0.74717,1.11719,0.0005842,0.0005842,0.0005842
65,9556.91,1.30685,0.82389,1.24487,0.90864,0.84934,0.91706,0.57232,1.21262,0.69806,1.10383,0.0005776,0.0005776,0.0005776
66,9666.62,1.28332,0.82531,1.23038,0.85846,0.85153,0.91783,0.56176,1.23656,0.70933,1.13236,0.000571,0.000571,0.000571
67,9776.14,1.2682,0.81185,1.23279,0.84722,0.85966,0.91966,0.57881,1.19213,0.73769,1.10908,0.0005644,0.0005644,0.0005644
68,9885.83,1.28557,0.80793,1.2395,0.90807,0.84108,0.92554,0.58644,1.189,0.68728,1.11059,0.0005578,0.0005578,0.0005578
69,9995.46,1.31452,0.8202,1.25178,0.877,0.85622,0.91774,0.58076,1.18102,0.68384,1.1016,0.0005512,0.0005512,0.0005512
70,10105,1.28855,0.82239,1.23449,0.86201,0.87555,0.91959,0.59538,1.16882,0.72435,1.09847,0.0005446,0.0005446,0.0005446
71,10214.8,1.27699,0.77493,1.23389,0.88928,0.84061,0.91269,0.59106,1.16115,0.70457,1.09821,0.000538,0.000538,0.000538
72,10324.3,1.30459,0.8137,1.25884,0.87988,0.86245,0.92453,0.59863,1.14804,0.67696,1.09785,0.0005314,0.0005314,0.0005314
73,10433.9,1.27535,0.80315,1.23176,0.88208,0.869,0.92575,0.58565,1.18561,0.68926,1.11814,0.0005248,0.0005248,0.0005248
74,10544.1,1.275,0.80742,1.23344,0.89598,0.82748,0.91947,0.58949,1.18129,0.68838,1.10799,0.0005182,0.0005182,0.0005182
75,10660.7,1.26823,0.78354,1.22532,0.88966,0.86463,0.92411,0.59538,1.16885,0.66205,1.09871,0.0005116,0.0005116,0.0005116
76,10775.1,1.28717,0.79055,1.24826,0.88254,0.87991,0.92446,0.58364,1.18288,0.67663,1.11624,0.000505,0.000505,0.000505
77,10889.6,1.27741,0.82287,1.24246,0.89387,0.8559,0.92662,0.5952,1.19242,0.682,1.12544,0.0004984,0.0004984,0.0004984
78,11003.7,1.27525,0.78668,1.23602,0.86812,0.8821,0.93446,0.59984,1.19219,0.65157,1.11707,0.0004918,0.0004918,0.0004918
79,11118,1.27754,0.77938,1.23538,0.87541,0.88979,0.93795,0.60308,1.16869,0.6376,1.10063,0.0004852,0.0004852,0.0004852
80,11232.2,1.24351,0.75737,1.21607,0.90112,0.88865,0.93751,0.61098,1.16959,0.62019,1.09645,0.0004786,0.0004786,0.0004786
81,11346.5,1.2521,0.76771,1.22248,0.91653,0.86313,0.93685,0.6057,1.16897,0.62057,1.09316,0.000472,0.000472,0.000472
82,11460.9,1.25952,0.7669,1.20938,0.89606,0.85808,0.93121,0.60636,1.15477,0.64887,1.08312,0.0004654,0.0004654,0.0004654
83,11575.2,1.25431,0.76294,1.21783,0.90921,0.85371,0.9322,0.61504,1.13795,0.65035,1.08306,0.0004588,0.0004588,0.0004588
84,11689.7,1.24599,0.75628,1.21235,0.90395,0.87118,0.93709,0.61624,1.13158,0.65275,1.08538,0.0004522,0.0004522,0.0004522
85,11804,1.23597,0.74182,1.20162,0.84983,0.88961,0.92827,0.60871,1.13446,0.65176,1.07941,0.0004456,0.0004456,0.0004456
86,11918.2,1.24167,0.7491,1.20752,0.89722,0.87555,0.93324,0.6069,1.15424,0.64844,1.07769,0.000439,0.000439,0.000439
87,12032.7,1.22012,0.72398,1.20321,0.91345,0.85259,0.93425,0.59081,1.18674,0.64508,1.09192,0.0004324,0.0004324,0.0004324
88,12146.9,1.23279,0.72072,1.2051,0.90796,0.87118,0.93543,0.61011,1.13586,0.6347,1.07553,0.0004258,0.0004258,0.0004258
89,12261.3,1.25694,0.73633,1.22096,0.89319,0.88428,0.93342,0.61496,1.14158,0.63259,1.08357,0.0004192,0.0004192,0.0004192
90,12375.5,1.21694,0.72694,1.19105,0.89588,0.88428,0.92781,0.62194,1.14083,0.6284,1.08517,0.0004126,0.0004126,0.0004126
