epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.16337,4.40184,50.6655,2.4734,0,0,0,0,5.91021,59.7242,3.62752,0.000533333,0.000533333,0.000533333
2,5.81374,5.26323,52.6486,3.06792,0,0,0,0,5.91021,59.7242,3.62752,0.00117624,0.00117624,0.00117624
3,6.45602,5.11093,37.1995,3.1601,0,0,0,0,5.91021,59.7242,3.62752,0.00179275,0.00179275,0.00179275
4,7.21397,4.70363,34.4301,2.48939,0,0,0,0,5.46901,49.7203,2.9393,0.0018812,0.0018812,0.0018812
5,7.87512,4.95915,39.663,2.50911,0,0,0,0,5.46901,49.7203,2.9393,0.0018416,0.0018416,0.0018416
6,8.52717,4.27981,39.1901,2.1759,0,0,0,0,5.46901,49.7203,2.9393,0.001802,0.001802,0.001802
7,9.15122,5.29546,42.3828,2.70019,0,0,0,0,5.3609,48.8501,2.90119,0.0017624,0.0017624,0.0017624
8,9.7965,4.77374,47.3821,2.28635,0,0,0,0,5.3609,48.8501,2.90119,0.0017228,0.0017228,0.0017228
9,10.4237,5.06811,38.1169,2.82273,0,0,0,0,5.3609,48.8501,2.90119,0.0016832,0.0016832,0.0016832
10,11.0545,4.68107,59.9076,2.48783,0,0,0,0,5.35424,51.4139,2.93187,0.0016436,0.0016436,0.0016436
11,11.6951,4.58687,56.9591,2.29892,0,0,0,0,5.35424,51.4139,2.93187,0.001604,0.001604,0.001604
12,12.3327,3.40188,55.1231,1.84476,0,0,0,0,5.35424,51.4139,2.93187,0.0015644,0.0015644,0.0015644
13,12.9798,4.55662,38.1582,2.23998,0,0,0,0,5.22401,49.3383,2.89672,0.0015248,0.0015248,0.0015248
14,13.6477,3.74521,46.4266,2.10622,0,0,0,0,5.22401,49.3383,2.89672,0.0014852,0.0014852,0.0014852
15,14.2826,3.26098,42.6372,1.79774,0,0,0,0,5.22401,49.3383,2.89672,0.0014456,0.0014456,0.0014456
16,14.933,4.48424,48.5358,2.2485,0,0,0,0,5.09007,49.6766,2.82025,0.001406,0.001406,0.001406
17,15.5911,4.88478,54.7308,2.51069,0,0,0,0,5.09007,49.6766,2.82025,0.0013664,0.0013664,0.0013664
18,16.2105,4.75336,32.79,2.62011,0,0,0,0,5.09007,49.6766,2.82025,0.0013268,0.0013268,0.0013268
19,16.8517,4.49822,53.3344,2.50241,0,0,0,0,5.10722,50.462,2.88902,0.0012872,0.0012872,0.0012872
20,17.5082,4.62603,59.0536,2.71235,0,0,0,0,5.10722,50.462,2.88902,0.0012476,0.0012476,0.0012476
21,18.2095,4.74605,33.7517,2.54437,0,0,0,0,5.10722,50.462,2.88902,0.001208,0.001208,0.001208
22,18.8332,5.08091,43.1078,2.62547,0,0,0,0,5.12004,47.1818,2.88041,0.0011684,0.0011684,0.0011684
