epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2882.45,1.94425,1.86441,1.60556,0.15216,0.05889,0.04053,0.01523,2.64607,5.64418,2.04156,0.0007294,0.0007294,0.0007294
43,2950.23,1.92595,1.84116,1.58493,0.05629,0.02932,0.01105,0.00352,2.7137,5.85608,2.10274,0.0007228,0.0007228,0.0007228
44,3018.14,1.93043,1.76453,1.59121,0.03391,0.03537,0.00844,0.00338,2.80313,5.79208,2.18136,0.0007162,0.0007162,0.0007162
45,3086.07,1.92871,1.77268,1.59254,0.00871,0.09599,0.00666,0.00178,3.02781,6.09288,2.46417,0.0007096,0.0007096,0.0007096
46,3154.09,1.87583,1.71574,1.56367,0.13467,0.06292,0.03093,0.005,3.01646,5.25465,2.45437,0.000703,0.000703,0.000703
47,3222.16,1.87991,1.73079,1.5524,0.27405,0.0514,0.04971,0.01385,2.85454,5.55494,2.22506,0.0006964,0.0006964,0.0006964
48,3290.58,1.90183,1.70246,1.60041,0.30264,0.11108,0.07483,0.01865,3.02921,5.05632,2.30833,0.0006898,0.0006898,0.0006898
49,3358.23,1.87616,1.66978,1.55681,0.13021,0.07502,0.04384,0.01662,2.63899,5.2598,2.06984,0.0006832,0.0006832,0.0006832
50,3425.84,1.90203,1.68779,1.57583,0.20577,0.06225,0.05344,0.01705,2.96861,5.3059,2.32256,0.0006766,0.0006766,0.0006766
51,3493.13,1.81938,1.59015,1.53148,0.2516,0.06671,0.0599,0.01672,2.95667,5.83469,2.35039,0.00067,0.00067,0.00067
52,3560.55,1.81551,1.66414,1.54134,0.20265,0.05596,0.04582,0.00737,2.95269,5.86173,2.34573,0.0006634,0.0006634,0.0006634
53,3628.15,1.81094,1.61221,1.55522,0.19837,0.07421,0.03471,0.01076,2.92947,5.24176,2.28555,0.0006568,0.0006568,0.0006568
54,3695.67,1.81555,1.56496,1.54378,0.30962,0.06964,0.06869,0.01954,2.96466,5.51115,2.3165,0.0006502,0.0006502,0.0006502
55,3763.05,1.80544,1.59567,1.52451,0.1708,0.06427,0.04321,0.0152,2.97845,5.75558,2.39879,0.0006436,0.0006436,0.0006436
56,3830.57,1.82104,1.53493,1.5219,0.08415,0.03201,0.01895,0.00653,2.87347,5.55251,2.2661,0.000637,0.000637,0.000637
57,3898.1,1.79194,1.55431,1.50143,0.17325,0.05108,0.04855,0.01968,2.99082,5.38233,2.39904,0.0006304,0.0006304,0.0006304
58,3965.56,1.79071,1.59382,1.51837,0.03838,0.03222,0.00989,0.00289,2.81175,5.68541,2.19605,0.0006238,0.0006238,0.0006238
59,4033.04,1.81335,1.54731,1.528,0.17093,0.05864,0.04743,0.00928,3.07459,5.58772,2.56137,0.0006172,0.0006172,0.0006172
60,4100.41,1.76956,1.46455,1.47509,0.1045,0.10133,0.02281,0.00577,2.89503,5.26216,2.25055,0.0006106,0.0006106,0.0006106
61,4168.01,1.74267,1.4574,1.46679,0.01105,0.12793,0.00579,0.00106,3.03316,5.86173,2.38401,0.000604,0.000604,0.000604
62,4235.69,1.76662,1.4997,1.49295,0.16783,0.05062,0.03524,0.01134,2.86254,5.50912,2.26152,0.0005974,0.0005974,0.0005974
63,4303.25,1.73025,1.42605,1.48349,0.02619,0.03748,0.00603,0.00167,2.75887,5.75534,2.2625,0.0005908,0.0005908,0.0005908
64,4370.45,1.73633,1.47781,1.47925,0.12688,0.05263,0.02515,0.0056,2.84503,5.74596,2.27402,0.0005842,0.0005842,0.0005842
65,4437.94,1.74859,1.45413,1.49179,0.18392,0.07622,0.04263,0.01168,2.91185,5.54864,2.23521,0.0005776,0.0005776,0.0005776
66,4505.31,1.72114,1.41397,1.47819,0.14704,0.04373,0.02967,0.00885,2.858,5.70891,2.25015,0.000571,0.000571,0.000571
67,4572.81,1.68796,1.40515,1.4549,0.06489,0.02395,0.01115,0.00321,2.9633,5.76722,2.38366,0.0005644,0.0005644,0.0005644
68,4640.29,1.66962,1.39886,1.44922,0.10173,0.04007,0.02054,0.00603,2.89226,5.75965,2.25143,0.0005578,0.0005578,0.0005578
69,4708.06,1.66811,1.41492,1.43918,0.10225,0.05058,0.02939,0.00907,2.93395,5.62651,2.3091,0.0005512,0.0005512,0.0005512
70,4775.55,1.6575,1.40051,1.40819,0.25601,0.07941,0.06371,0.02411,2.90005,5.10659,2.26766,0.0005446,0.0005446,0.0005446
71,4843.24,1.64293,1.29602,1.4288,0.16272,0.04276,0.04024,0.00986,2.92367,5.33823,2.32345,0.000538,0.000538,0.000538
72,4910.83,1.64853,1.27802,1.41344,0.20671,0.05889,0.05536,0.01684,2.9136,5.41629,2.2737,0.0005314,0.0005314,0.0005314
73,4978.52,1.63783,1.31682,1.40233,0.19078,0.0694,0.0559,0.01266,2.83919,5.4508,2.2142,0.0005248,0.0005248,0.0005248
74,5046.13,1.64563,1.32288,1.40282,0.24278,0.08549,0.06594,0.02022,2.92241,5.13685,2.25722,0.0005182,0.0005182,0.0005182
75,5113.69,1.59054,1.28406,1.38265,0.16756,0.09306,0.06509,0.014,3.00421,5.52752,2.37101,0.0005116,0.0005116,0.0005116
76,5181.4,1.65004,1.30033,1.41458,0.20852,0.05889,0.05007,0.01669,2.74068,5.54291,2.11352,0.000505,0.000505,0.000505
77,5249.15,1.60884,1.25739,1.41659,0.16368,0.07477,0.05536,0.01893,2.88622,5.21879,2.30533,0.0004984,0.0004984,0.0004984
78,5316.75,1.59959,1.25736,1.38288,0.20738,0.05791,0.04376,0.01672,2.85031,5.67876,2.19684,0.0004918,0.0004918,0.0004918
79,5384.36,1.65333,1.2699,1.41204,0.28466,0.08478,0.06733,0.02439,2.79127,5.50479,2.16925,0.0004852,0.0004852,0.0004852
80,5452.06,1.563,1.19857,1.36673,0.15963,0.05083,0.04003,0.01407,2.93269,5.45776,2.32201,0.0004786,0.0004786,0.0004786
81,5520.02,1.57006,1.1788,1.36362,0.21035,0.06402,0.06699,0.02437,2.84079,5.24004,2.2264,0.000472,0.000472,0.000472
82,5589.26,1.55346,1.22181,1.34725,0.22954,0.05302,0.04375,0.01223,2.78014,5.12723,2.21751,0.0004654,0.0004654,0.0004654
83,5656.73,1.57998,1.24724,1.36972,0.21224,0.06402,0.05156,0.02382,2.65433,5.47723,2.09604,0.0004588,0.0004588,0.0004588
84,5724.09,1.60951,1.23352,1.3792,0.29986,0.1094,0.0877,0.03648,2.78835,5.08991,2.1437,0.0004522,0.0004522,0.0004522
85,5791.63,1.57989,1.20451,1.35536,0.25496,0.09504,0.08048,0.02632,2.78612,5.01766,2.21528,0.0004456,0.0004456,0.0004456
86,5859.12,1.55363,1.22042,1.34556,0.22147,0.08059,0.06797,0.02356,2.86684,5.43778,2.23531,0.000439,0.000439,0.000439
87,5926.63,1.54247,1.14554,1.33284,0.19445,0.07032,0.05597,0.02074,2.93154,5.30907,2.34604,0.0004324,0.0004324,0.0004324
88,5994.19,1.53588,1.22884,1.34911,0.1771,0.07279,0.04953,0.02295,2.78398,5.24604,2.18251,0.0004258,0.0004258,0.0004258
89,6061.72,1.51912,1.13064,1.33845,0.26354,0.08797,0.07357,0.03221,2.85413,5.15702,2.25655,0.0004192,0.0004192,0.0004192
90,6129.3,1.5475,1.10767,1.35766,0.19996,0.06377,0.05405,0.02283,2.83894,5.21862,2.28762,0.0004126,0.0004126,0.0004126
91,6196.86,1.51627,1.14906,1.3378,0.20774,0.06961,0.04953,0.01802,2.82971,5.10539,2.29866,0.000406,0.000406,0.000406
92,6264.42,1.49565,1.10259,1.32531,0.21722,0.06402,0.05053,0.01651,2.68403,5.09723,2.15699,0.0003994,0.0003994,0.0003994
93,6332,1.50186,1.1284,1.33137,0.19556,0.08828,0.0581,0.02069,2.70779,5.0684,2.17361,0.0003928,0.0003928,0.0003928
94,6399.47,1.52007,1.12729,1.33097,0.15683,0.0926,0.05461,0.02264,2.81416,5.08624,2.23946,0.0003862,0.0003862,0.0003862
95,6466.9,1.44817,1.09554,1.30097,0.27351,0.06332,0.05264,0.02086,2.83211,5.26577,2.25436,0.0003796,0.0003796,0.0003796
96,6534.49,1.47187,1.05671,1.29274,0.23533,0.07233,0.06666,0.02497,2.72308,5.13847,2.13944,0.000373,0.000373,0.000373
97,6601.86,1.45192,1.12412,1.31269,0.22909,0.0635,0.05716,0.02346,2.75724,5.59014,2.16779,0.0003664,0.0003664,0.0003664
