epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.19954,2.92268,19.1576,2.40758,0,0,0,0,2.76132,14.0498,2.29185,0.00035725,0.00035725,0.00035725
2,8.77707,3.34943,19.5421,2.46147,0,0,0,0,2.76132,14.0498,2.29185,0.000817078,0.000817078,0.000817078
3,9.359,3.67014,24.6538,2.55683,0,0,0,0,2.76132,14.0498,2.29185,0.00125804,0.00125804,0.00125804
4,10.0235,3.84944,17.6984,3.03212,0,0,0,0,2.8503,13.129,2.32601,0.00134412,0.00134412,0.00134412
5,10.6526,3.48739,17.7936,2.85206,0,0,0,0,2.8503,13.129,2.32601,0.00131582,0.00131582,0.00131582
6,11.2532,3.15299,20.22,2.46577,0,0,0,0,2.8503,13.129,2.32601,0.00128753,0.00128753,0.00128753
7,11.8407,3.35458,15.7921,2.45911,0,0,0,0,2.8503,13.129,2.32601,0.00125923,0.00125923,0.00125923
8,12.607,3.35048,20.4422,2.39876,0,0,0,0,2.64119,13.7757,2.22271,0.00123094,0.00123094,0.00123094
9,13.3115,3.36891,21.9427,2.54501,0,0,0,0,2.64119,13.7757,2.22271,0.00120265,0.00120265,0.00120265
10,13.5696,3.19622,22.8645,2.11861,0,0,0,0,2.64119,13.7757,2.22271,0.00117435,0.00117435,0.00117435
11,14.3132,3.4344,34.1131,2.59881,0,0,0,0,2.64119,13.7757,2.22271,0.00114606,0.00114606,0.00114606
12,15.2032,3.54507,19.6639,2.6553,0,0,0,0,2.57578,14.3458,2.169,0.00111776,0.00111776,0.00111776
13,16.056,3.17013,19.4033,2.39713,0,0,0,0,2.57578,14.3458,2.169,0.00108947,0.00108947,0.00108947
14,16.9554,3.45733,29.486,2.58919,0,0,0,0,2.57578,14.3458,2.169,0.00106118,0.00106118,0.00106118
15,17.7967,3.00601,15.5588,2.32877,0,0,0,0,2.57578,14.3458,2.169,0.00103288,0.00103288,0.00103288
16,18.697,2.42966,14.4393,1.97016,0,0,0,0,2.56117,13.6491,2.15554,0.00100459,0.00100459,0.00100459
17,19.57,3.49556,20.3915,3.04031,0,0,0,0,2.56117,13.6491,2.15554,0.000976293,0.000976293,0.000976293
18,20.479,3.57601,35.4005,2.8586,0,0,0,0,2.56117,13.6491,2.15554,0.000947999,0.000947999,0.000947999
19,21.3614,3.32422,14.6461,2.95431,0,0,0,0,2.72166,13.8439,2.2184,0.000919704,0.000919704,0.000919704
20,22.3333,3.07968,17.2005,2.45965,0,0,0,0,2.72166,13.8439,2.2184,0.00089141,0.00089141,0.00089141
21,23.215,3.10423,17.3541,2.44061,0,0,0,0,2.72166,13.8439,2.2184,0.000863116,0.000863116,0.000863116
22,24.0934,3.01836,15.1691,2.44851,0,0,0,0,2.72166,13.8439,2.2184,0.000834822,0.000834822,0.000834822
23,25.0103,2.90805,15.0552,2.54212,0,0,0,0,2.79408,14.7267,2.25874,0.000806528,0.000806528,0.000806528
24,25.8733,3.17687,14.2753,2.60635,0,0,0,0,2.79408,14.7267,2.25874,0.000778233,0.000778233,0.000778233
25,26.7432,2.92688,20.1296,2.4096,0,0,0,0,2.79408,14.7267,2.25874,0.000749939,0.000749939,0.000749939
26,27.6632,3.33538,16.3779,2.52712,0,0,0,0,2.79408,14.7267,2.25874,0.000721645,0.000721645,0.000721645
27,28.5547,3.38833,18.1925,2.49006,0.00063,0.05556,0.00045,0.00036,2.7947,15.5174,2.25112,0.000693351,0.000693351,0.000693351
28,29.4304,3.00683,19.0551,2.44064,0.00063,0.05556,0.00045,0.00036,2.7947,15.5174,2.25112,0.000665057,0.000665057,0.000665057
29,30.2901,3.13595,23.9592,2.32981,0.00063,0.05556,0.00045,0.00036,2.7947,15.5174,2.25112,0.000636762,0.000636762,0.000636762
30,31.1626,3.39029,15.8933,2.8742,0.00063,0.05556,0.00045,0.00036,2.7947,15.5174,2.25112,0.000608468,0.000608468,0.000608468
31,32.0638,2.97168,14.332,2.41394,0.00026,0.05556,0.00018,0.00011,2.88196,15.3756,2.25698,0.000580174,0.000580174,0.000580174
32,33.0299,2.99527,17.7025,2.25229,0.00026,0.05556,0.00018,0.00011,2.88196,15.3756,2.25698,0.00055188,0.00055188,0.00055188
33,33.9861,2.79964,14.6167,2.27687,0.00026,0.05556,0.00018,0.00011,2.88196,15.3756,2.25698,0.000523586,0.000523586,0.000523586
34,35.0748,3.14425,20.9953,2.64369,0.00038,0.11111,0.00303,0.00096,2.79923,16.0518,2.30349,0.000495291,0.000495291,0.000495291
35,36.0368,2.48212,16.1826,1.8849,0.00038,0.11111,0.00303,0.00096,2.79923,16.0518,2.30349,0.000466997,0.000466997,0.000466997
36,37.0199,2.65139,19.8465,2.1352,0.00038,0.11111,0.00303,0.00096,2.79923,16.0518,2.30349,0.000438703,0.000438703,0.000438703
37,37.9744,2.79022,15.9442,2.36575,0.00038,0.11111,0.00303,0.00096,2.79923,16.0518,2.30349,0.000410409,0.000410409,0.000410409
38,38.9725,3.11802,16.2611,2.33886,0.00055,0.16667,0.00228,0.00123,2.5652,15.6251,2.07287,0.000382115,0.000382115,0.000382115
39,40.0052,2.79177,27.3481,2.33644,0.00055,0.16667,0.00228,0.00123,2.5652,15.6251,2.07287,0.00035382,0.00035382,0.00035382
40,41.0177,2.50211,14.5126,1.9753,0.00055,0.16667,0.00228,0.00123,2.5652,15.6251,2.07287,0.000325526,0.000325526,0.000325526
41,42.4748,2.66237,15.9421,2.13946,0.00055,0.16667,0.00228,0.00123,2.5652,15.6251,2.07287,0.000297232,0.000297232,0.000297232
42,43.5425,2.30391,14.896,2.06532,0.00038,0.11111,0.01092,0.00833,2.41356,14.9869,1.94141,0.000268938,0.000268938,0.000268938
43,44.7317,2.47021,17.3098,2.02621,0.00038,0.11111,0.01092,0.00833,2.41356,14.9869,1.94141,0.000240644,0.000240644,0.000240644
44,45.2999,2.68718,17.0182,2.2993,0.00038,0.11111,0.01092,0.00833,2.41356,14.9869,1.94141,0.000212349,0.000212349,0.000212349
45,46.36,2.66936,17.7503,2.15104,0.00038,0.11111,0.01092,0.00833,2.41356,14.9869,1.94141,0.000184055,0.000184055,0.000184055
46,47.3933,2.59581,13.5896,2.00402,0.0004,0.11111,0.07389,0.01623,2.33767,15.4208,1.94687,0.000155761,0.000155761,0.000155761
47,48.4475,2.3771,14.5498,1.97412,0.0004,0.11111,0.07389,0.01623,2.33767,15.4208,1.94687,0.000127467,0.000127467,0.000127467
48,49.4785,2.82799,16.4997,2.47485,0.0004,0.11111,0.07389,0.01623,2.33767,15.4208,1.94687,9.91726e-05,9.91726e-05,9.91726e-05
49,50.5275,2.6148,17.6326,2.20559,0.00042,0.11111,0.02481,0.01273,2.25259,15.0744,1.92456,7.08784e-05,7.08784e-05,7.08784e-05
50,51.5807,2.56156,18.0871,2.05188,0.00042,0.11111,0.02481,0.01273,2.25259,15.0744,1.92456,4.25842e-05,4.25842e-05,4.25842e-05
