epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.9512,4.4062,79.5907,2.49627,0,0,0,0,5.91009,88.6633,3.62968,0.000333333,0.000333333,0.000333333
2,5.87225,5.24865,86.065,2.98994,0,0,0,0,5.91009,88.6633,3.62968,0.00073515,0.00073515,0.00073515
3,6.77966,5.11158,55.6744,3.16191,0,0,0,0,5.91009,88.6633,3.62968,0.00112047,0.00112047,0.00112047
4,7.80276,4.67942,53.3547,2.52122,0,0,0,0,5.46538,72.8421,2.94245,0.00117575,0.00117575,0.00117575
5,8.71143,4.96529,62.1029,2.52276,0,0,0,0,5.46538,72.8421,2.94245,0.001151,0.001151,0.001151
6,9.64412,4.29819,60.7106,2.20411,0,0,0,0,5.46538,72.8421,2.94245,0.00112625,0.00112625,0.00112625
7,10.352,5.29737,65.2769,2.7396,0,0,0,0,5.35972,70.2583,2.90204,0.0011015,0.0011015,0.0011015
8,11.0686,4.811,74.5047,2.31711,0,0,0,0,5.35972,70.2583,2.90204,0.00107675,0.00107675,0.00107675
9,11.7605,5.08609,59.7914,2.86259,0,0,0,0,5.35972,70.2583,2.90204,0.001052,0.001052,0.001052
10,12.4221,4.73813,94.3653,2.50973,0,0,0,0,5.35408,72.8497,2.93294,0.00102725,0.00102725,0.00102725
11,13.105,4.61002,90.2327,2.31223,0,0,0,0,5.35408,72.8497,2.93294,0.0010025,0.0010025,0.0010025
12,13.7644,3.45955,85.888,1.90562,0,0,0,0,5.35408,72.8497,2.93294,0.00097775,0.00097775,0.00097775
13,14.4178,4.57146,59.9893,2.25211,0,0,0,0,5.22688,69.2229,2.8983,0.000953,0.000953,0.000953
14,15.0905,3.81727,74.4205,2.16409,0,0,0,0,5.22688,69.2229,2.8983,0.00092825,0.00092825,0.00092825
15,15.7569,3.24265,69.3001,1.79652,0,0,0,0,5.22688,69.2229,2.8983,0.0009035,0.0009035,0.0009035
16,16.4271,4.52322,76.5089,2.26794,0,0,0,0,5.08668,69.6378,2.81828,0.00087875,0.00087875,0.00087875
17,17.115,4.93407,82.5158,2.56307,0,0,0,0,5.08668,69.6378,2.81828,0.000854,0.000854,0.000854
18,17.7846,4.71913,49.3477,2.59815,0,0,0,0,5.08668,69.6378,2.81828,0.00082925,0.00082925,0.00082925
19,18.4574,4.59633,82.7816,2.57339,0,0,0,0,5.0989,70.6512,2.88507,0.0008045,0.0008045,0.0008045
20,19.1394,4.67585,91.9632,2.74831,0,0,0,0,5.0989,70.6512,2.88507,0.00077975,0.00077975,0.00077975
21,19.9019,4.73372,52.5139,2.52675,0,0,0,0,5.0989,70.6512,2.88507,0.000755,0.000755,0.000755
22,20.6043,5.09393,68.0432,2.65567,0,0,0,0,5.11918,67.2514,2.87846,0.00073025,0.00073025,0.00073025
23,21.3294,5.16131,70.9491,2.78328,0,0,0,0,5.11918,67.2514,2.87846,0.0007055,0.0007055,0.0007055
24,22.0114,4.87517,50.5591,2.80088,0,0,0,0,5.11918,67.2514,2.87846,0.00068075,0.00068075,0.00068075
25,22.8171,3.08838,64.6889,1.73676,0.00026,0.05,0.00012,1e-05,3.34396,26.9856,1.76342,0.000656,0.000656,0.000656
26,23.6608,4.5061,47.2854,2.05811,0.00026,0.05,0.00012,1e-05,3.34396,26.9856,1.76342,0.00063125,0.00063125,0.00063125
27,24.4615,3.9805,29.0006,1.83974,0.00026,0.05,0.00012,1e-05,3.34396,26.9856,1.76342,0.0006065,0.0006065,0.0006065
28,25.2885,3.97066,31.8081,1.94671,0,0,0,0,3.03567,26.5897,1.52456,0.00058175,0.00058175,0.00058175
