epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44431,1.36018,5.80168,1.0502,0.00267,0.8,0.0035,0.00217,1.08422,5.40602,0.88384,0.000533333,0.000533333,0.000533333
2,6.34563,1.30756,5.56299,1.01011,0.00267,0.8,0.0035,0.00217,1.08422,5.40602,0.88384,0.00117624,0.00117624,0.00117624
3,7.09596,1.34477,6.12117,1.06457,0.00267,0.8,0.0035,0.00217,1.08422,5.40602,0.88384,0.00179275,0.00179275,0.00179275
4,7.95663,1.26488,4.73384,0.96864,0.00283,0.85,0.0047,0.00224,1.17065,5.63018,0.89294,0.0018812,0.0018812,0.0018812
5,8.8268,1.46233,4.75263,1.10327,0.00283,0.85,0.0047,0.00224,1.17065,5.63018,0.89294,0.0018416,0.0018416,0.0018416
6,9.69638,1.25351,5.02387,0.99058,0.00283,0.85,0.0047,0.00224,1.17065,5.63018,0.89294,0.001802,0.001802,0.001802
7,10.553,1.25523,5.11473,1.00627,0.00267,0.8,0.00503,0.00203,1.22503,5.54212,0.91712,0.0017624,0.0017624,0.0017624
8,11.4023,1.37625,6.27415,0.99974,0.00267,0.8,0.00503,0.00203,1.22503,5.54212,0.91712,0.0017228,0.0017228,0.0017228
9,12.2428,1.20898,6.07252,1.04368,0.00267,0.8,0.00503,0.00203,1.22503,5.54212,0.91712,0.0016832,0.0016832,0.0016832
10,13.0501,1.192,4.89529,0.97225,0.00267,0.8,0.00426,0.00162,1.22525,5.62445,0.92217,0.0016436,0.0016436,0.0016436
11,13.8756,1.46281,5.56665,1.09322,0.00267,0.8,0.00426,0.00162,1.22525,5.62445,0.92217,0.001604,0.001604,0.001604
12,14.7022,1.36033,7.00256,1.12343,0.00267,0.8,0.00426,0.00162,1.22525,5.62445,0.92217,0.0015644,0.0015644,0.0015644
13,15.4768,1.20002,4.85831,1.05994,0.00267,0.8,0.00319,0.00151,1.26938,5.61685,0.92887,0.0015248,0.0015248,0.0015248
14,16.2178,1.45618,5.36999,1.13456,0.00267,0.8,0.00319,0.00151,1.26938,5.61685,0.92887,0.0014852,0.0014852,0.0014852
15,16.9781,1.17945,5.77129,1.00046,0.00267,0.8,0.00319,0.00151,1.26938,5.61685,0.92887,0.0014456,0.0014456,0.0014456
16,17.6687,1.1123,4.86786,0.95684,0.00233,0.7,0.00383,0.00165,1.2937,5.66357,0.9441,0.001406,0.001406,0.001406
17,18.3568,1.39344,5.45927,1.0891,0.00233,0.7,0.00383,0.00165,1.2937,5.66357,0.9441,0.0013664,0.0013664,0.0013664
